# idx	freq_hz
824	12008100
825	12008490
826	12009560
827	12009200
828	12008710
829	12007990
830	12007550
831	12008410
832	12008470
833	12007980
834	12008360
835	12008380
836	12008100
837	12008600
838	12008210
839	12008320
840	12008760
841	12008900
842	12009240
843	12009120
844	12008950
845	12007900
846	12008060
847	12008600
848	12009080
849	12009140
850	12008710
851	12008810
852	12009050
853	12008160
854	12007720
855	12008090
856	12008130
857	12007460
858	12007380
859	12007280
860	12006800
861	12006370
862	12006110
863	12006390
864	12006770
865	12006880
866	12007350
867	12006670
868	12006730
869	12006260
870	12006440
871	12006750
872	12006900
873	12006820
874	12006770
875	12006840
876	12006800
877	12006960
878	12007310
879	12007150
880	12006780
881	12006970
882	12006880
883	12006520
884	12006700
885	12006470
886	12006580
887	12007590
888	12008050
889	12007880
890	12008920
891	12008700
892	12007610
893	12008020
894	12008480
895	12008440
896	12007710
897	12007750
898	12008180
899	12008590
900	12008200
901	12008220
902	12007510
903	12008060
904	12008120
905	12008150
906	12008720
907	12008420
908	12008840
909	12009010
910	12008900
911	12009370
912	12009470
913	12010600
914	12010560
915	12010510
916	12008550
917	12008980
918	12009680
919	12009970
920	12009570
921	12009850
922	12009360
923	12008970
924	12009530
925	12009320
926	12008860
927	12009420
928	12009440
929	12009150
930	12008950
931	12009900
932	12009590
933	12009470
934	12009630
935	12009350
936	12009410
937	12008830
938	12009200
939	12008680
940	12009200
941	12009270
942	12008890
943	12008560
944	12008420
945	12007850
946	12007440
947	12007330
948	12007860
949	12007320
950	12007860
951	12007700
952	12008300
953	12007980
954	12007830
955	12007910
956	12008880
957	12008830
958	12008820
959	12008450
960	12009020
961	12009190
962	12008810
963	12008290
964	12008670
965	12008730
966	12008670
967	12007250
968	12007650
969	12007810
970	12007970
971	12007660
972	12008480
973	12008860
974	12007820
975	12007950
976	12008300
977	12008170
978	12007890
979	12007910
980	12007170
981	12007580
982	12008350
983	12009050
984	12008550
985	12008600
986	12008700
987	12008900
988	12008240
989	12008270
990	12008610
991	12009340
992	12008830
993	12009260
994	12008960
995	12008810
996	12009270
997	12009480
998	12009300
999	12008700
